Angle(Degrees)    Distance(m)
0                0.239809
2                0.229027
4                0.395833
6                0.403595
8                0.403745
10                0.407583
12                0.403563
14                0.412356
16                0.408034
18                0.392006
20                0.338644
22                0.343266
24                0.410023
26                0.423590
28                0.494700
30                0.432125
32                0.499581
34                0.574583
36                0.507761
38                0.410313
40                0.457667
42                0.555556
44                0.621496
46                0.593901
48                0.602221
50                0.555674
52                0.650832
54                0.607327
56                0.616121
58                0.312930
60                0.250226
62                0.250322
64                0.235735
66                0.222749
68                0.209269
70                0.200529
72                0.233520
74                0.229005
76                0.224243
78                0.186608
80                0.185920
82                0.181469
84                0.177212
86                0.173762
88                0.173740
90                0.173783
92                0.173794
94                0.173794
96                0.173686
98                0.173815
100                0.173729
102                0.178201
104                0.182426
106                0.228909
108                0.187930
110                0.188468
112                0.185447
114                0.193638
116                0.239691
118                0.235842
120                0.248678
122                0.253332
124                0.281046
126                0.385739
128                0.389222
130                0.392866
132                0.379827
134                0.379848
136                0.374978
138                0.374774
140                0.375226
142                0.366895
144                0.375462
146                0.360036
148                0.376032
150                0.324658
152                0.359982
154                0.371442
156                0.394017
158                0.394543
160                0.399198
162                0.392146
164                0.392168
166                0.401273
168                0.512438
170                0.534550
172                0.772414
174                0.773972
176                0.496818
178                0.479833
180                0.502279
